IID	Ethnicity
HG01917	1000g_AMR
HG01918	1000g_AMR
HG01920	1000g_AMR
HG01921	1000g_AMR
HG01923	1000g_AMR
HG01924	1000g_AMR
HG01926	1000g_AMR
HG01927	1000g_AMR
HG01932	1000g_AMR
HG01933	1000g_AMR
HG01935	1000g_AMR
HG01936	1000g_AMR
HG01938	1000g_AMR
HG01939	1000g_AMR
HG01941	1000g_AMR
HG01942	1000g_AMR
HG01944	1000g_AMR
HG01945	1000g_AMR
HG01947	1000g_AMR
HG01948	1000g_AMR
HG01950	1000g_AMR
HG01951	1000g_AMR
HG01953	1000g_AMR
HG01954	1000g_AMR
HG01956	1000g_AFR
HG01958	1000g_AFR
HG01961	1000g_AMR
HG01965	1000g_AMR
HG01967	1000g_AMR
HG01968	1000g_AMR
HG01970	1000g_AMR
HG01971	1000g_AMR
HG01973	1000g_AMR
HG01974	1000g_AMR
HG01976	1000g_AMR
HG01977	1000g_AMR
HG01979	1000g_AMR
HG01980	1000g_AMR
HG01982	1000g_AMR
HG01985	1000g_AFR
HG01986	1000g_AFR
HG01988	1000g_AFR
HG01989	1000g_AFR
HG01990	1000g_AFR
HG01991	1000g_AMR
HG01992	1000g_AMR
HG01997	1000g_AMR
HG02002	1000g_AMR
HG02003	1000g_AMR
HG02006	1000g_AMR
HG02008	1000g_AMR
HG02009	1000g_AFR
HG02010	1000g_AFR
HG02012	1000g_AFR
HG02013	1000g_AFR
HG02014	1000g_AFR
HG02016	1000g_EAS
HG02017	1000g_EAS
HG02019	1000g_EAS
HG02020	1000g_EAS
HG02023	1000g_EAS
HG02025	1000g_EAS
HG02026	1000g_EAS
HG02028	1000g_EAS
HG02029	1000g_EAS
HG02031	1000g_EAS
HG02032	1000g_EAS
HG02035	1000g_EAS
HG02040	1000g_EAS
HG02047	1000g_EAS
HG02048	1000g_EAS
HG02049	1000g_EAS
HG02050	1000g_EAS
HG02051	1000g_AFR
HG02052	1000g_AFR
HG02053	1000g_AFR
HG02054	1000g_AFR
HG02057	1000g_EAS
HG02058	1000g_EAS
HG02060	1000g_EAS
HG02061	1000g_EAS
HG02064	1000g_EAS
HG02067	1000g_EAS
HG02069	1000g_EAS
HG02070	1000g_EAS
HG02072	1000g_EAS
HG02073	1000g_EAS
HG02075	1000g_EAS
HG02076	1000g_EAS
HG02078	1000g_EAS
HG02079	1000g_EAS
HG02081	1000g_EAS
HG02082	1000g_EAS
HG02084	1000g_EAS
HG02085	1000g_EAS
HG02086	1000g_EAS
HG02087	1000g_EAS
HG02088	1000g_EAS
HG02089	1000g_AMR
HG02090	1000g_AMR
HG02095	1000g_AFR
HG02102	1000g_AMR
HG02104	1000g_AMR
HG02105	1000g_AMR
HG02107	1000g_AFR
HG02108	1000g_AFR
HG02111	1000g_AFR
HG02113	1000g_EAS
HG02116	1000g_EAS
HG02121	1000g_EAS
HG02122	1000g_EAS
HG02127	1000g_EAS
HG02128	1000g_EAS
HG02130	1000g_EAS
HG02131	1000g_EAS
HG02133	1000g_EAS
HG02134	1000g_EAS
HG02136	1000g_EAS
HG02137	1000g_EAS
HG02138	1000g_EAS
HG02139	1000g_EAS
HG02140	1000g_EAS
HG02141	1000g_EAS
HG02142	1000g_EAS
HG02143	1000g_AFR
HG02144	1000g_AFR
HG02146	1000g_AMR
HG02147	1000g_AMR
HG02150	1000g_AMR
HG02151	1000g_EAS
HG02152	1000g_EAS
HG02153	1000g_EAS
HG02154	1000g_EAS
HG02155	1000g_EAS
HG02156	1000g_EAS
HG02164	1000g_EAS
HG02165	1000g_EAS
HG02166	1000g_EAS
HG02178	1000g_EAS
HG02179	1000g_EAS
HG02180	1000g_EAS
HG02181	1000g_EAS
HG02182	1000g_EAS
HG02184	1000g_EAS
HG02185	1000g_EAS
HG02186	1000g_EAS
HG02187	1000g_EAS
HG02188	1000g_EAS
HG02190	1000g_EAS
HG02215	1000g_EUR
HG02219	1000g_EUR
HG02220	1000g_EUR
HG02221	1000g_EUR
HG02223	1000g_EUR
HG02224	1000g_EUR
HG02230	1000g_EUR
HG02231	1000g_EUR
HG02232	1000g_EUR
HG02233	1000g_EUR
HG02235	1000g_EUR
HG02236	1000g_EUR
HG02238	1000g_EUR
HG02239	1000g_EUR
HG02250	1000g_EAS
HG02252	1000g_AMR
HG02253	1000g_AMR
HG02255	1000g_AFR
HG02256	1000g_AFR
HG02259	1000g_AMR
HG02260	1000g_AMR
HG02262	1000g_AMR
HG02265	1000g_AMR
HG02266	1000g_AMR
HG02271	1000g_AMR
HG02272	1000g_AMR
HG02274	1000g_AMR
HG02275	1000g_AMR
HG02277	1000g_AMR
HG02278	1000g_AMR
HG02281	1000g_AFR
HG02282	1000g_AFR
HG02283	1000g_AFR
HG02284	1000g_AFR
HG02285	1000g_AMR
HG02286	1000g_AMR
HG02291	1000g_AMR
HG02292	1000g_AMR
HG02298	1000g_AMR
HG02299	1000g_AMR
HG02301	1000g_AMR
HG02304	1000g_AMR
HG02307	1000g_AFR
HG02308	1000g_AFR
HG02309	1000g_AFR
HG02312	1000g_AMR
HG02314	1000g_AFR
HG02315	1000g_AFR
HG02317	1000g_AFR
HG02318	1000g_AFR
HG02322	1000g_AFR
HG02323	1000g_AFR
HG02325	1000g_AFR
HG02330	1000g_AFR
HG02332	1000g_AFR
HG02334	1000g_AFR
HG02337	1000g_AFR
HG02339	1000g_AFR
HG02343	1000g_AFR
HG02345	1000g_AMR
HG02348	1000g_AMR
HG02351	1000g_EAS
HG02353	1000g_EAS
HG02355	1000g_EAS
HG02356	1000g_EAS
HG02360	1000g_EAS
HG02364	1000g_EAS
HG02367	1000g_EAS
HG02371	1000g_EAS
HG02373	1000g_EAS
HG02374	1000g_EAS
HG02375	1000g_EAS
HG02379	1000g_EAS
HG02380	1000g_EAS
HG02382	1000g_EAS
HG02383	1000g_EAS
HG02384	1000g_EAS
HG02385	1000g_EAS
HG02386	1000g_EAS
HG02389	1000g_EAS
HG02390	1000g_EAS
HG02391	1000g_EAS
HG02392	1000g_EAS
HG02394	1000g_EAS
HG02395	1000g_EAS
HG02396	1000g_EAS
HG02397	1000g_EAS
HG02398	1000g_EAS
HG02399	1000g_EAS
HG02401	1000g_EAS
HG02402	1000g_EAS
HG02406	1000g_EAS
HG02407	1000g_EAS
HG02408	1000g_EAS
HG02409	1000g_EAS
HG02410	1000g_EAS
HG02419	1000g_AFR
HG02420	1000g_AFR
HG02425	1000g_AMR
HG02427	1000g_AFR
HG02429	1000g_AFR
HG02433	1000g_AFR
HG02439	1000g_AFR
HG02442	1000g_AFR
HG02445	1000g_AFR
HG02449	1000g_AFR
HG02450	1000g_AFR
HG02455	1000g_AFR
HG02461	1000g_AFR
HG02462	1000g_AFR
HG02464	1000g_AFR
HG02465	1000g_AFR
HG02470	1000g_AFR
HG02471	1000g_AFR
HG02476	1000g_AFR
HG02477	1000g_AFR
HG02479	1000g_AFR
HG02481	1000g_AFR
HG02484	1000g_AFR
HG02485	1000g_AFR
HG02489	1000g_AFR
HG02490	1000g_SAS
HG02491	1000g_SAS
HG02493	1000g_SAS
HG02494	1000g_SAS
HG02496	1000g_AFR
HG02497	1000g_AFR
HG02501	1000g_AFR
HG02502	1000g_AFR
HG02505	1000g_AFR
HG02508	1000g_AFR
HG02511	1000g_AFR
HG02512	1000g_EAS
HG02513	1000g_EAS
HG02521	1000g_EAS
HG02522	1000g_EAS
HG02536	1000g_AFR
HG02537	1000g_AFR
HG02541	1000g_AFR
HG02545	1000g_AFR
HG02546	1000g_AFR
HG02549	1000g_AFR
HG02554	1000g_AFR
HG02555	1000g_AFR
HG02557	1000g_AFR
HG02558	1000g_AFR
HG02561	1000g_AFR
HG02562	1000g_AFR
HG02568	1000g_AFR
HG02570	1000g_AFR
HG02571	1000g_AFR
HG02573	1000g_AFR
HG02574	1000g_AFR
HG02577	1000g_AFR
HG02580	1000g_AFR
HG02582	1000g_AFR
HG02583	1000g_AFR
HG02585	1000g_AFR
HG02586	1000g_AFR
HG02588	1000g_AFR
HG02589	1000g_AFR
HG02594	1000g_AFR
HG02595	1000g_AFR
HG02597	1000g_SAS
HG02600	1000g_SAS
HG02601	1000g_SAS
HG02603	1000g_SAS
HG02604	1000g_SAS
HG02610	1000g_AFR
HG02611	1000g_AFR
HG02613	1000g_AFR
HG02614	1000g_AFR
HG02620	1000g_AFR
HG02621	1000g_AFR
HG02623	1000g_AFR
HG02624	1000g_AFR
HG02628	1000g_AFR
HG02629	1000g_AFR
HG02634	1000g_AFR
HG02635	1000g_AFR
HG02642	1000g_AFR
HG02643	1000g_AFR
HG02645	1000g_AFR
